"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.845875650E-1,-1.527118147E-4,1.221694518E-3,6.108472589E-4,1.374406333E-3
3.870019920E-1,5.344913807E-4,-0.000000000E0,-1.221694518E-3,1.333498606E-3
3.894164190E-1,-7.635590737E-4,6.108472589E-4,-0.000000000E0,9.778327223E-4
3.918308460E-1,-7.635590737E-4,-0.000000000E0,1.832541777E-3,1.985253592E-3
3.942452740E-1,-7.635590737E-4,-1.221694518E-3,6.108472589E-4,1.564830447E-3
3.966597010E-1,-1.374406274E-3,6.108472589E-4,1.221694518E-3,1.937695661E-3
3.990741280E-1,-7.635590737E-4,-0.000000000E0,-1.221694518E-3,1.440680379E-3
4.014885030E-1,5.344913807E-4,-6.108472589E-4,-6.108472589E-4,1.015849292E-3
4.039029300E-1,1.145338640E-3,-0.000000000E0,-6.108472589E-4,1.298050451E-3
4.063173570E-1,5.344913807E-4,6.108472589E-4,1.221694518E-3,1.466749094E-3
4.087317840E-1,5.344913807E-4,1.221694518E-3,-6.108472589E-4,1.466749094E-3
4.111462110E-1,-1.527118147E-4,6.108472589E-4,1.221694518E-3,1.374406333E-3
4.135606380E-1,5.344913807E-4,6.108472589E-4,6.108472589E-4,1.015849292E-3
4.159750650E-1,-1.527118147E-4,-1.221694518E-3,1.221694518E-3,1.734472798E-3
4.183894400E-1,-7.635590737E-4,-0.000000000E0,6.108472589E-4,9.778327223E-4
4.208038670E-1,-1.374406274E-3,-0.000000000E0,-0.000000000E0,1.374406274E-3
4.232182940E-1,1.145338640E-3,-0.000000000E0,-1.221694518E-3,1.674615805E-3
4.256327210E-1,5.344913807E-4,6.108472589E-4,-0.000000000E0,8.116744481E-4
4.280471490E-1,-1.527118147E-4,-6.108472589E-4,-0.000000000E0,6.296469424E-4
4.304615760E-1,1.145338640E-3,-0.000000000E0,-6.108472589E-4,1.298050451E-3
4.328760030E-1,5.344913807E-4,1.832541777E-3,6.108472589E-4,2.004251674E-3
4.352904300E-1,-7.635590737E-4,6.108472589E-4,6.108472589E-4,1.152948918E-3
4.377048050E-1,-7.635590737E-4,-6.108472589E-4,-6.108472589E-4,1.152948918E-3
4.401192320E-1,1.145338640E-3,-0.000000000E0,-0.000000000E0,1.145338640E-3
4.425336590E-1,1.145338640E-3,6.108472589E-4,-0.000000000E0,1.298050451E-3
4.449480860E-1,-7.635590737E-4,6.108472589E-4,-0.000000000E0,9.778327223E-4
4.473625130E-1,-1.527118147E-4,-1.221694518E-3,6.108472589E-4,1.374406333E-3
4.497769400E-1,5.344913807E-4,-0.000000000E0,-0.000000000E0,5.344913807E-4
4.521913670E-1,5.344913807E-4,-6.108472589E-4,6.108472589E-4,1.015849292E-3
4.546057420E-1,-7.635590737E-4,-0.000000000E0,-0.000000000E0,7.635590737E-4
4.570201690E-1,1.145338640E-3,-0.000000000E0,-0.000000000E0,1.145338640E-3
4.594345960E-1,-1.527118147E-4,-0.000000000E0,-0.000000000E0,1.527118147E-4
4.618490240E-1,1.756185899E-3,2.443389036E-3,6.108472589E-4,3.070419070E-3
4.642634510E-1,1.756185899E-3,6.108472589E-4,2.443389036E-3,3.070419070E-3
4.666778780E-1,5.344913807E-4,-6.108472589E-4,1.832541777E-3,2.004251674E-3
4.690923050E-1,-1.527118147E-4,-0.000000000E0,-0.000000000E0,1.527118147E-4
4.715066800E-1,-7.635590737E-4,6.108472589E-4,-0.000000000E0,9.778327223E-4
4.739211070E-1,-1.985253533E-3,6.108472589E-4,6.108472589E-4,2.165063588E-3
4.763355340E-1,-7.635590737E-4,6.108472589E-4,1.832541777E-3,2.077105244E-3
4.787499610E-1,1.145338640E-3,6.108472589E-4,6.108472589E-4,1.434597277E-3
4.811643880E-1,-1.527118147E-4,6.108472589E-4,-0.000000000E0,6.296469424E-4
4.835788150E-1,-1.527118147E-4,-1.221694518E-3,-0.000000000E0,1.231202012E-3
4.859931900E-1,-1.374406274E-3,-6.108472589E-4,-0.000000000E0,1.504036895E-3
