"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.478010263E0,2.015953064E-1,-1.800599098E-1,9.864710808E0
2.487667502E0,1.968096644E-1,-1.657029688E-1,9.869496346E0
2.497324742E0,2.063809484E-1,-1.537388563E-1,9.862318039E0
2.506981982E0,1.992024779E-1,-1.680957973E-1,9.883852959E0
2.516639169E0,1.944168359E-1,-1.800599098E-1,9.876674652E0
2.526296409E0,2.207378894E-1,-1.609173268E-1,9.879067421E0
2.535953648E0,1.848455518E-1,-1.585244983E-1,9.886245728E0
2.545610888E0,1.992024779E-1,-1.800599098E-1,9.876674652E0
2.555268127E0,2.135594189E-1,-1.657029688E-1,9.879067421E0
2.564925367E0,2.039881349E-1,-1.489532143E-1,9.874281883E0
2.574582607E0,1.872383654E-1,-1.298106313E-1,9.879067421E0
2.584239846E0,2.063809484E-1,-1.537388563E-1,9.886245728E0
2.593897086E0,2.255235314E-1,-1.824527234E-1,9.879067421E0
2.603554325E0,2.159522474E-1,-1.322034448E-1,9.879067421E0
2.613211565E0,1.920240223E-1,-1.680957973E-1,9.881460190E0
2.622868805E0,2.207378894E-1,-1.776670814E-1,9.886245728E0
2.632526044E0,2.159522474E-1,-1.896311939E-1,9.864710808E0
2.642183284E0,1.968096644E-1,-1.513460279E-1,9.876674652E0
2.651840523E0,1.848455518E-1,-1.704886109E-1,9.886245728E0
2.661497763E0,2.183450609E-1,-1.680957973E-1,9.883852959E0
2.671155002E0,1.920240223E-1,-1.633101404E-1,9.891031265E0
2.680812242E0,2.087737769E-1,-1.585244983E-1,9.883852959E0
2.690469482E0,1.920240223E-1,-1.704886109E-1,9.886245728E0
2.700126721E0,1.944168359E-1,-1.633101404E-1,9.881460190E0
2.709783909E0,2.111666054E-1,-1.417747438E-1,9.876674652E0
2.719441148E0,2.039881349E-1,-1.824527234E-1,9.869496346E0
2.729098388E0,2.039881349E-1,-1.609173268E-1,9.874281883E0
2.738755627E0,2.063809484E-1,-1.728814393E-1,9.879067421E0
2.748412867E0,2.255235314E-1,-1.896311939E-1,9.881460190E0
2.758070107E0,2.183450609E-1,-1.824527234E-1,9.879067421E0
2.767727346E0,2.063809484E-1,-1.465603858E-1,9.874281883E0
2.777384586E0,2.087737769E-1,-1.704886109E-1,9.876674652E0
2.787041825E0,1.944168359E-1,-1.561316848E-1,9.871889114E0
2.796699065E0,2.135594189E-1,-1.728814393E-1,9.879067421E0
2.806356305E0,2.183450609E-1,-1.704886109E-1,9.881460190E0
2.816013544E0,1.944168359E-1,-1.513460279E-1,9.893424034E0
2.825670784E0,1.944168359E-1,-1.704886109E-1,9.879067421E0
2.835328023E0,2.087737769E-1,-1.513460279E-1,9.869496346E0
2.844985263E0,2.159522474E-1,-1.633101404E-1,9.871889114E0
2.854642502E0,1.968096644E-1,-1.752742529E-1,9.864710808E0
2.864299742E0,2.111666054E-1,-1.728814393E-1,9.862318039E0
2.873956982E0,1.896311939E-1,-1.513460279E-1,9.881460190E0
2.883614221E0,1.824527234E-1,-1.752742529E-1,9.883852959E0
2.893271461E0,1.824527234E-1,-1.633101404E-1,9.874281883E0
2.902928700E0,1.968096644E-1,-1.752742529E-1,9.869496346E0
2.912585940E0,2.063809484E-1,-1.872383654E-1,9.883852959E0
2.922243180E0,2.135594189E-1,-1.704886109E-1,9.879067421E0
2.931900419E0,1.992024779E-1,-1.465603858E-1,9.869496346E0
2.941557607E0,2.015953064E-1,-1.728814393E-1,9.862318039E0
2.951214846E0,1.776670814E-1,-1.752742529E-1,9.876674652E0
2.960872086E0,2.039881349E-1,-1.513460279E-1,9.886245728E0
2.970529325E0,1.848455518E-1,-1.585244983E-1,9.881460190E0
2.980186565E0,1.944168359E-1,-1.537388563E-1,9.857531548E0
2.989843805E0,2.039881349E-1,-1.704886109E-1,9.886245728E0
2.999501044E0,1.920240223E-1,-1.728814393E-1,9.876674652E0
3.009158284E0,2.015953064E-1,-1.489532143E-1,9.883852959E0
3.018815523E0,1.920240223E-1,-1.752742529E-1,9.876674652E0
3.028472763E0,2.063809484E-1,-1.633101404E-1,9.876674652E0
3.038130002E0,2.039881349E-1,-1.393819153E-1,9.874281883E0
3.047787242E0,2.135594189E-1,-1.704886109E-1,9.888638496E0
3.057444482E0,1.920240223E-1,-1.369891018E-1,9.879067421E0
3.067101721E0,2.063809484E-1,-1.489532143E-1,9.874281883E0
