"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.995949670E-1,-2.003988922E-1,2.811566554E-2,9.886245728E0,9.888316580E0
7.020092900E-1,-1.549352705E-1,5.204389244E-2,9.886245728E0,9.887596679E0
7.044236130E-1,-1.908276081E-1,9.032905847E-2,9.874281883E0,9.876538727E0
7.068379880E-1,-1.884347796E-1,4.965107143E-2,9.874281883E0,9.876204514E0
7.092523110E-1,-2.003988922E-1,5.922235921E-2,9.879067421E0,9.881277251E0
7.116666340E-1,-2.171486616E-1,4.247260094E-2,9.862318039E0,9.864799773E0
7.140809570E-1,-1.956132501E-1,9.032905847E-2,9.859925270E0,9.862279159E0
7.164953320E-1,-1.692921966E-1,7.357929647E-2,9.881460190E0,9.883184165E0
7.189096550E-1,-1.980060786E-1,1.046859920E-1,9.883852959E0,9.886390386E0
7.213239780E-1,-1.764706671E-1,8.315058798E-2,9.871889114E0,9.873816415E0
7.237383530E-1,-2.003988922E-1,7.597211748E-2,9.898209572E0,9.900529491E0
7.261526760E-1,-2.075773627E-1,7.836493850E-2,9.879067421E0,9.881558710E0
7.285669990E-1,-1.836491376E-1,1.238285750E-1,9.859925270E0,9.862412831E0
7.309813740E-1,-1.764706671E-1,4.725824669E-2,9.891031265E0,9.892718268E0
7.333956970E-1,-2.123630047E-1,7.836493850E-2,9.867103577E0,9.869699697E0
7.358100190E-1,-2.027917206E-1,8.554340899E-2,9.893424034E0,9.895871931E0
7.382243940E-1,-1.812563092E-1,6.879365444E-2,9.881460190E0,9.883361872E0
7.406387170E-1,-1.549352705E-1,6.879365444E-2,9.895816803E0,9.897268699E0
7.430530400E-1,-1.836491376E-1,8.554340899E-2,9.869496346E0,9.871575497E0
7.454674150E-1,-1.908276081E-1,8.315058798E-2,9.867103577E0,9.869298971E0
7.478817380E-1,-1.980060786E-1,8.075776696E-2,9.895816803E0,9.898127016E0
7.502960610E-1,-1.812563092E-1,8.554340899E-2,9.893424034E0,9.895454039E0
7.527103840E-1,-2.051845491E-1,6.879365444E-2,9.876674652E0,9.879045270E0
7.551247590E-1,-1.884347796E-1,9.990034252E-2,9.883852959E0,9.886153805E0
7.575390820E-1,-1.549352705E-1,6.640082598E-2,9.883852959E0,9.885290249E0
7.599534050E-1,-1.740778536E-1,7.357929647E-2,9.881460190E0,9.883267299E0
7.623677800E-1,-1.621137410E-1,9.990034252E-2,9.888638496E0,9.890471791E0
7.647821030E-1,-1.860419661E-1,8.075776696E-2,9.871889114E0,9.873972256E0
7.671964260E-1,-1.429711580E-1,9.990034252E-2,9.886245728E0,9.887784151E0
7.696108010E-1,-1.788634956E-1,5.443671346E-2,9.871889114E0,9.873659412E0
7.720251240E-1,-1.453639716E-1,3.529413417E-2,9.876674652E0,9.877807375E0
7.744394470E-1,-1.381855011E-1,7.357929647E-2,9.912567139E0,9.913803328E0
